,ftm,home,opponent,Age_x,#days_x,BA,OBP,SLG,OPS,ERA,PO,BF,Pit,Str,StL,StS,GB/FB,LD,PU,WHIP,BAbip,SO9,SO/W,throws,bats,opp_hand,VAL
5536,Chicago Cubs,0,Pittsburgh Pirates,28.0,0.0,0.268,0.366,0.45899999999999996,0.825,2.62,0.0,230.0,966.0,68%,15%,16%,44%,27%,8%,1.182,0.324,11.8,3.79,L,L,False,9.0
5537,Texas Rangers,1,Los Angeles Angels,26.0,0.0,0.183,0.28300000000000003,0.247,0.53,4.76,0.0,305.0,1165.0,64%,20%,11%,44%,27%,8%,1.357,0.306,10.2,2.93,R,L,True,5.0
5538,Texas Rangers,1,Los Angeles Angels,26.0,0.0,0.183,0.28300000000000003,0.247,0.53,4.76,0.0,305.0,1165.0,64%,20%,11%,44%,27%,8%,1.357,0.306,10.2,2.93,R,L,True,5.0
5539,New York Yankees,1,Toronto Blue Jays,33.0,0.0,0.114,0.205,0.2,0.405,0.0,0.0,10.0,43.0,60%,21%,7%,83%,17%,0%,1.5,0.16699999999999998,4.5,0.5,R,,True,0.0
5540,New York Mets,0,Philadelphia Phillies,22.0,0.0,0.242,0.285,0.361,0.6459999999999999,5.9,0.0,133.0,515.0,63%,14%,12%,48%,26%,7%,1.5859999999999999,0.341,9.0,2.23,R,R,False,15.0
5541,Minnesota Twins,1,Detroit Tigers,26.0,0.0,0.29100000000000004,0.32899999999999996,0.486,0.815,3.93,0.0,205.0,785.0,62%,15%,9%,48%,23%,9%,1.1320000000000001,0.245,5.9,2.36,R,L,True,16.0
5542,Chicago Cubs,0,Pittsburgh Pirates,24.0,5.0,0.259,0.326,0.359,0.685,2.62,0.0,230.0,966.0,68%,15%,16%,44%,27%,8%,1.182,0.324,11.8,3.79,L,R,True,5.0
5544,Chicago White Sox,1,Kansas City Royals,26.0,0.0,0.24600000000000002,0.311,0.38299999999999995,0.6940000000000001,6.03,1.0,542.0,1934.0,65%,17%,9%,38%,26%,8%,1.6269999999999998,0.34700000000000003,6.3,2.18,R,,True,3.0
5545,Minnesota Twins,1,Detroit Tigers,25.0,0.0,0.21,0.285,0.41200000000000003,0.6970000000000001,3.93,0.0,205.0,785.0,62%,15%,9%,48%,23%,9%,1.1320000000000001,0.245,5.9,2.36,R,R,False,2.0
5546,Philadelphia Phillies,1,New York Mets,32.0,0.0,0.21899999999999997,0.35,0.39899999999999997,0.7490000000000001,0.0,0.0,11.0,42.0,64%,21%,14%,50%,0%,17%,1.0,0.33299999999999996,12.0,4.0,L,S,True,16.0
5547,Chicago Cubs,0,Pittsburgh Pirates,25.0,0.0,0.23800000000000002,0.353,0.45799999999999996,0.8109999999999999,2.62,0.0,230.0,966.0,68%,15%,16%,44%,27%,8%,1.182,0.324,11.8,3.79,L,L,False,18.0
5548,Seattle Mariners,1,Los Angeles Dodgers,30.0,0.0,0.221,0.271,0.406,0.677,6.75,0.0,28.0,117.0,64%,15%,15%,29%,24%,18%,1.2,0.28600000000000003,13.5,10.0,L,L,False,7.0
5549,Oakland Athletics,1,Houston Astros,27.0,0.0,0.265,0.32299999999999995,0.387,0.71,2.65,1.0,666.0,2735.0,68%,18%,14%,30%,24%,13%,0.9309999999999999,0.271,11.8,7.69,R,R,False,5.0
