,ftm,home,opponent,Age_x,#days_x,BA,OBP,SLG,OPS,ERA,PO,BF,Pit,Str,StL,StS,GB/FB,LD,PU,WHIP,BAbip,SO9,SO/W,throws,bats,opp_hand,VAL
5454,Colorado Rockies,0,Atlanta Braves,23.0,5.0,0.33299999999999996,0.33299999999999996,0.4,0.733,2.58,0.0,214.0,881.0,64%,15%,14%,44%,27%,6%,1.051,0.29600000000000004,11.4,4.4,R,R,False,0.0
5455,Arizona D'Backs,0,San Diego Padres,24.0,0.0,0.249,0.32299999999999995,0.41600000000000004,0.74,2.16,0.0,202.0,824.0,66%,13%,16%,44%,26%,9%,0.98,0.282,12.6,5.38,R,S,True,3.0
5456,Pittsburgh Pirates,1,Chicago Cubs,29.0,0.0,0.275,0.321,0.45799999999999996,0.778,3.13,0.0,197.0,874.0,64%,15%,11%,37%,30%,7%,1.37,0.282,11.7,2.0,L,R,True,7.0
5457,Toronto Blue Jays,0,New York Yankees,35.0,0.0,0.198,0.342,0.33299999999999996,0.6759999999999999,3.12,1.0,210.0,823.0,66%,18%,12%,29%,25%,10%,1.0,0.262,8.8,4.25,R,R,False,5.0
5458,Boston Red Sox,1,Tampa Bay Rays,30.0,0.0,0.335,0.406,0.654,1.06,3.3,0.0,238.0,956.0,62%,17%,14%,42%,22%,8%,1.203,0.308,9.9,3.5,R,R,False,0.0
5459,Detroit Tigers,0,Minnesota Twins,39.0,0.0,0.251,0.3,0.33899999999999997,0.639,3.42,1.0,209.0,813.0,67%,22%,11%,46%,27%,6%,1.101,0.315,10.3,4.29,L,S,True,7.0
5460,Oakland Athletics,1,Houston Astros,28.0,0.0,0.276,0.39,0.391,0.7809999999999999,2.65,1.0,666.0,2735.0,68%,18%,14%,30%,24%,13%,0.9309999999999999,0.271,11.8,7.69,R,L,True,5.0
5461,Arizona D'Backs,0,San Diego Padres,35.0,3.0,0.213,0.29,0.28,0.57,2.16,0.0,202.0,824.0,66%,13%,16%,44%,26%,9%,0.98,0.282,12.6,5.38,R,R,False,11.0
5462,Minnesota Twins,1,Detroit Tigers,35.0,0.0,0.275,0.353,0.374,0.726,3.93,0.0,205.0,785.0,62%,15%,9%,48%,23%,9%,1.1320000000000001,0.245,5.9,2.36,R,L,True,0.0
5463,Seattle Mariners,1,Los Angeles Dodgers,31.0,0.0,0.243,0.32299999999999995,0.326,0.649,6.75,0.0,28.0,117.0,64%,15%,15%,29%,24%,18%,1.2,0.28600000000000003,13.5,10.0,L,R,True,2.0
5464,Texas Rangers,1,Los Angeles Angels,23.0,0.0,0.266,0.327,0.44,0.767,4.76,0.0,305.0,1165.0,64%,20%,11%,44%,27%,8%,1.357,0.306,10.2,2.93,R,L,True,3.0
5465,Texas Rangers,1,Los Angeles Angels,23.0,0.0,0.266,0.327,0.44,0.767,4.76,0.0,305.0,1165.0,64%,20%,11%,44%,27%,8%,1.357,0.306,10.2,2.93,R,L,True,3.0
5466,Detroit Tigers,0,Minnesota Twins,28.0,0.0,0.223,0.272,0.321,0.5920000000000001,3.42,1.0,209.0,813.0,67%,22%,11%,46%,27%,6%,1.101,0.315,10.3,4.29,L,R,True,0.0
5467,San Francisco Giants,0,Cincinnati Reds,31.0,0.0,0.255,0.354,0.415,0.769,5.17,2.0,184.0,682.0,61%,14%,11%,46%,30%,9%,1.8259999999999998,0.325,6.1,0.93,L,R,True,5.0
5468,Toronto Blue Jays,0,New York Yankees,23.0,0.0,0.368,0.5,0.684,1.1840000000000002,3.12,1.0,210.0,823.0,66%,18%,12%,29%,25%,10%,1.0,0.262,8.8,4.25,R,L,True,3.0
5469,Colorado Rockies,0,Atlanta Braves,23.0,0.0,0.245,0.32899999999999996,0.401,0.731,2.58,0.0,214.0,881.0,64%,15%,14%,44%,27%,6%,1.051,0.29600000000000004,11.4,4.4,R,L,True,5.0
5470,New York Mets,0,Philadelphia Phillies,26.0,0.0,0.33,0.391,0.48,0.871,5.9,0.0,133.0,515.0,63%,14%,12%,48%,26%,7%,1.5859999999999999,0.341,9.0,2.23,R,L,True,10.0
5471,Kansas City Royals,0,Chicago White Sox,29.0,0.0,0.304,0.373,0.431,0.8029999999999999,7.27,0.0,38.0,129.0,63%,18%,12%,31%,15%,8%,1.1540000000000001,0.13,6.2,1.5,R,R,False,26.0
5472,Washington Nationals,1,Miami Marlins,31.0,5.0,0.0,0.125,0.0,0.125,4.5,2.0,572.0,2218.0,63%,15%,9%,52%,21%,5%,1.225,0.292,7.0,2.77,R,,True,0.0
5473,St. Louis Cardinals,1,Milwaukee Brewers,35.0,0.0,0.272,0.322,0.44799999999999995,0.77,1.45,0.0,244.0,990.0,65%,18%,13%,60%,19%,4%,1.032,0.264,10.2,3.33,R,R,False,0.0
5474,Chicago White Sox,1,Kansas City Royals,23.0,0.0,0.218,0.302,0.392,0.6940000000000001,6.03,1.0,542.0,1934.0,65%,17%,9%,38%,26%,8%,1.6269999999999998,0.34700000000000003,6.3,2.18,R,S,True,0.0
5475,Kansas City Royals,0,Chicago White Sox,22.0,0.0,0.247,0.266,0.39299999999999996,0.66,7.27,0.0,38.0,129.0,63%,18%,12%,31%,15%,8%,1.1540000000000001,0.13,6.2,1.5,R,S,True,3.0
5476,Toronto Blue Jays,0,New York Yankees,35.0,0.0,0.26,0.33899999999999997,0.46799999999999997,0.807,3.12,1.0,210.0,823.0,66%,18%,12%,29%,25%,10%,1.0,0.262,8.8,4.25,R,S,True,17.0
5477,Pittsburgh Pirates,1,Chicago Cubs,25.0,0.0,0.267,0.331,0.381,0.7120000000000001,3.13,0.0,197.0,874.0,64%,15%,11%,37%,30%,7%,1.37,0.282,11.7,2.0,L,L,False,3.0
5478,Boston Red Sox,1,Tampa Bay Rays,32.0,1.0,0.259,0.327,0.47200000000000003,0.8,3.3,0.0,238.0,956.0,62%,17%,14%,42%,22%,8%,1.203,0.308,9.9,3.5,R,L,True,0.0
5479,Milwaukee Brewers,0,St. Louis Cardinals,29.0,0.0,0.248,0.313,0.45799999999999996,0.7709999999999999,4.16,0.0,578.0,2290.0,61%,19%,9%,46%,29%,4%,1.291,0.266,7.4,1.93,R,L,True,11.0
5480,Baltimore Orioles,0,Cleveland Indians,23.0,0.0,0.304,0.396,0.5429999999999999,0.94,5.51,0.0,199.0,758.0,68%,18%,8%,62%,19%,3%,1.204,0.295,6.8,9.0,R,S,True,10.0
5481,Washington Nationals,1,Miami Marlins,33.0,0.0,0.309,0.34700000000000003,0.456,0.8029999999999999,4.5,2.0,572.0,2218.0,63%,15%,9%,52%,21%,5%,1.225,0.292,7.0,2.77,R,L,True,0.0
5482,San Diego Padres,1,Arizona D'Backs,27.0,0.0,0.262,0.32,0.47,0.79,4.25,0.0,245.0,845.0,65%,14%,11%,73%,15%,2%,1.298,0.28800000000000003,6.1,2.11,R,R,False,15.0
5483,Chicago White Sox,1,Kansas City Royals,26.0,0.0,0.28,0.374,0.43,0.804,6.03,1.0,542.0,1934.0,65%,17%,9%,38%,26%,8%,1.6269999999999998,0.34700000000000003,6.3,2.18,R,L,True,21.0
