,away,home,date
1,New York Mets,Cincinnati Reds,2018-05-07
2,Houston Astros,Oakland Athletics,2018-05-07
3,San Francisco Giants,Philadelphia Phillies,2018-05-07
4,Washington Nationals,San Diego Padres,2018-05-07
5,Minnesota Twins,St. Louis Cardinals,2018-05-07
6,Detroit Tigers,Texas Rangers,2018-05-07
0,Kansas City Royals,Baltimore Orioles,2018-05-08
1,Pittsburgh Pirates,Chicago White Sox,2018-05-08
2,Miami Marlins,Chicago Cubs,2018-05-08
3,New York Mets,Cincinnati Reds,2018-05-08
4,Los Angeles Angels,Colorado Rockies,2018-05-08
5,Arizona D'Backs,Los Angeles Dodgers,2018-05-08
6,Cleveland Indians,Milwaukee Brewers,2018-05-08
7,Boston Red Sox,New York Yankees,2018-05-08
8,Houston Astros,Oakland Athletics,2018-05-08
9,San Francisco Giants,Philadelphia Phillies,2018-05-08
10,Washington Nationals,San Diego Padres,2018-05-08
11,Minnesota Twins,St. Louis Cardinals,2018-05-08
12,Atlanta Braves,Tampa Bay Rays,2018-05-08
13,Detroit Tigers,Texas Rangers,2018-05-08
14,Seattle Mariners,Toronto Blue Jays,2018-05-08
0,Kansas City Royals,Baltimore Orioles,2018-05-09
1,Pittsburgh Pirates,Chicago White Sox,2018-05-09
2,Miami Marlins,Chicago Cubs,2018-05-09
3,New York Mets,Cincinnati Reds,2018-05-09
4,Los Angeles Angels,Colorado Rockies,2018-05-09
5,Arizona D'Backs,Los Angeles Dodgers,2018-05-09
6,Cleveland Indians,Milwaukee Brewers,2018-05-09
7,Boston Red Sox,New York Yankees,2018-05-09
8,Houston Astros,Oakland Athletics,2018-05-09
9,San Francisco Giants,Philadelphia Phillies,2018-05-09
10,Washington Nationals,San Diego Padres,2018-05-09
11,Atlanta Braves,Tampa Bay Rays,2018-05-09
12,Detroit Tigers,Texas Rangers,2018-05-09
13,Seattle Mariners,Toronto Blue Jays,2018-05-09
0,Minnesota Twins,Los Angeles Angels,2018-05-10
1,Washington Nationals,Arizona D'Backs,2018-05-10
2,Kansas City Royals,Baltimore Orioles,2018-05-10
3,Milwaukee Brewers,Colorado Rockies,2018-05-10
4,Cincinnati Reds,Los Angeles Dodgers,2018-05-10
5,Atlanta Braves,Miami Marlins,2018-05-10
6,Boston Red Sox,New York Yankees,2018-05-10
7,San Francisco Giants,Philadelphia Phillies,2018-05-10
8,St. Louis Cardinals,San Diego Padres,2018-05-10
9,Seattle Mariners,Toronto Blue Jays,2018-05-10
0,Minnesota Twins,Los Angeles Angels,2018-05-11
1,Washington Nationals,Arizona D'Backs,2018-05-11
2,Tampa Bay Rays,Baltimore Orioles,2018-05-11
3,Chicago White Sox,Chicago Cubs,2018-05-11
4,Kansas City Royals,Cleveland Indians,2018-05-11
5,Milwaukee Brewers,Colorado Rockies,2018-05-11
6,Texas Rangers,Houston Astros,2018-05-11
7,Cincinnati Reds,Los Angeles Dodgers,2018-05-11
8,Atlanta Braves,Miami Marlins,2018-05-11
9,Oakland Athletics,New York Yankees,2018-05-11
10,New York Mets,Philadelphia Phillies,2018-05-11
11,San Francisco Giants,Pittsburgh Pirates,2018-05-11
12,St. Louis Cardinals,San Diego Padres,2018-05-11
13,Boston Red Sox,Toronto Blue Jays,2018-05-11
0,Minnesota Twins,Los Angeles Angels,2018-05-12
1,Washington Nationals,Arizona D'Backs,2018-05-12
2,Tampa Bay Rays,Baltimore Orioles,2018-05-12
3,Tampa Bay Rays,Baltimore Orioles,2018-05-12
4,Chicago White Sox,Chicago Cubs,2018-05-12
5,Kansas City Royals,Cleveland Indians,2018-05-12
6,Milwaukee Brewers,Colorado Rockies,2018-05-12
7,Seattle Mariners,Detroit Tigers,2018-05-12
8,Seattle Mariners,Detroit Tigers,2018-05-12
9,Texas Rangers,Houston Astros,2018-05-12
10,Cincinnati Reds,Los Angeles Dodgers,2018-05-12
11,Atlanta Braves,Miami Marlins,2018-05-12
12,Oakland Athletics,New York Yankees,2018-05-12
13,San Francisco Giants,Pittsburgh Pirates,2018-05-12
14,St. Louis Cardinals,San Diego Padres,2018-05-12
15,Boston Red Sox,Toronto Blue Jays,2018-05-12
0,Minnesota Twins,Los Angeles Angels,2018-05-13
1,Washington Nationals,Arizona D'Backs,2018-05-13
2,Tampa Bay Rays,Baltimore Orioles,2018-05-13
3,Chicago White Sox,Chicago Cubs,2018-05-13
4,Kansas City Royals,Cleveland Indians,2018-05-13
5,Milwaukee Brewers,Colorado Rockies,2018-05-13
6,Seattle Mariners,Detroit Tigers,2018-05-13
7,Texas Rangers,Houston Astros,2018-05-13
8,Cincinnati Reds,Los Angeles Dodgers,2018-05-13
9,Atlanta Braves,Miami Marlins,2018-05-13
10,Oakland Athletics,New York Yankees,2018-05-13
11,New York Mets,Philadelphia Phillies,2018-05-13
12,San Francisco Giants,Pittsburgh Pirates,2018-05-13
13,St. Louis Cardinals,San Diego Padres,2018-05-13
14,Boston Red Sox,Toronto Blue Jays,2018-05-13
0,Houston Astros,Los Angeles Angels,2018-05-14
1,Milwaukee Brewers,Arizona D'Backs,2018-05-14
2,Oakland Athletics,Boston Red Sox,2018-05-14
3,Atlanta Braves,Chicago Cubs,2018-05-14
4,Cleveland Indians,Detroit Tigers,2018-05-14
5,Tampa Bay Rays,Kansas City Royals,2018-05-14
6,Seattle Mariners,Minnesota Twins,2018-05-14
7,Colorado Rockies,San Diego Padres,2018-05-14
8,Cincinnati Reds,San Francisco Giants,2018-05-14
0,Houston Astros,Los Angeles Angels,2018-05-15
1,Milwaukee Brewers,Arizona D'Backs,2018-05-15
2,Chicago Cubs,Atlanta Braves,2018-05-15
3,Oakland Athletics,Boston Red Sox,2018-05-15
4,Cleveland Indians,Detroit Tigers,2018-05-15
5,Tampa Bay Rays,Kansas City Royals,2018-05-15
6,Los Angeles Dodgers,Miami Marlins,2018-05-15
7,St. Louis Cardinals,Minnesota Twins,2018-05-15
8,Toronto Blue Jays,New York Mets,2018-05-15
9,Chicago White Sox,Pittsburgh Pirates,2018-05-15
10,Colorado Rockies,San Diego Padres,2018-05-15
11,Texas Rangers,Seattle Mariners,2018-05-15
12,Cincinnati Reds,San Francisco Giants,2018-05-15
13,New York Yankees,Washington Nationals,2018-05-15
0,Houston Astros,Los Angeles Angels,2018-05-16
1,Milwaukee Brewers,Arizona D'Backs,2018-05-16
2,Chicago Cubs,Atlanta Braves,2018-05-16
3,Philadelphia Phillies,Baltimore Orioles,2018-05-16
4,Oakland Athletics,Boston Red Sox,2018-05-16
5,Cleveland Indians,Detroit Tigers,2018-05-16
6,Tampa Bay Rays,Kansas City Royals,2018-05-16
7,Los Angeles Dodgers,Miami Marlins,2018-05-16
8,St. Louis Cardinals,Minnesota Twins,2018-05-16
9,Toronto Blue Jays,New York Mets,2018-05-16
10,Chicago White Sox,Pittsburgh Pirates,2018-05-16
11,Texas Rangers,Seattle Mariners,2018-05-16
12,Cincinnati Reds,San Francisco Giants,2018-05-16
0,Tampa Bay Rays,Los Angeles Angels,2018-05-17
1,Baltimore Orioles,Boston Red Sox,2018-05-17
2,Texas Rangers,Chicago White Sox,2018-05-17
3,Los Angeles Dodgers,Miami Marlins,2018-05-17
4,San Diego Padres,Pittsburgh Pirates,2018-05-17
5,Detroit Tigers,Seattle Mariners,2018-05-17
6,Colorado Rockies,San Francisco Giants,2018-05-17
7,Philadelphia Phillies,St. Louis Cardinals,2018-05-17
8,Oakland Athletics,Toronto Blue Jays,2018-05-17
0,Tampa Bay Rays,Los Angeles Angels,2018-05-18
1,Miami Marlins,Atlanta Braves,2018-05-18
2,Baltimore Orioles,Boston Red Sox,2018-05-18
3,Texas Rangers,Chicago White Sox,2018-05-18
4,Chicago Cubs,Cincinnati Reds,2018-05-18
5,Cleveland Indians,Houston Astros,2018-05-18
6,New York Yankees,Kansas City Royals,2018-05-18
7,Milwaukee Brewers,Minnesota Twins,2018-05-18
8,Arizona D'Backs,New York Mets,2018-05-18
9,San Diego Padres,Pittsburgh Pirates,2018-05-18
10,Detroit Tigers,Seattle Mariners,2018-05-18
11,Colorado Rockies,San Francisco Giants,2018-05-18
12,Philadelphia Phillies,St. Louis Cardinals,2018-05-18
13,Oakland Athletics,Toronto Blue Jays,2018-05-18
0,Tampa Bay Rays,Los Angeles Angels,2018-05-19
1,Miami Marlins,Atlanta Braves,2018-05-19
2,Baltimore Orioles,Boston Red Sox,2018-05-19
3,Texas Rangers,Chicago White Sox,2018-05-19
4,Chicago Cubs,Cincinnati Reds,2018-05-19
5,Chicago Cubs,Cincinnati Reds,2018-05-19
6,Cleveland Indians,Houston Astros,2018-05-19
7,New York Yankees,Kansas City Royals,2018-05-19
8,Milwaukee Brewers,Minnesota Twins,2018-05-19
9,Arizona D'Backs,New York Mets,2018-05-19
10,San Diego Padres,Pittsburgh Pirates,2018-05-19
11,Detroit Tigers,Seattle Mariners,2018-05-19
12,Colorado Rockies,San Francisco Giants,2018-05-19
13,Philadelphia Phillies,St. Louis Cardinals,2018-05-19
14,Oakland Athletics,Toronto Blue Jays,2018-05-19
15,Los Angeles Dodgers,Washington Nationals,2018-05-19
16,Los Angeles Dodgers,Washington Nationals,2018-05-19
0,Tampa Bay Rays,Los Angeles Angels,2018-05-20
1,Miami Marlins,Atlanta Braves,2018-05-20
2,Baltimore Orioles,Boston Red Sox,2018-05-20
3,Texas Rangers,Chicago White Sox,2018-05-20
4,Chicago Cubs,Cincinnati Reds,2018-05-20
5,Cleveland Indians,Houston Astros,2018-05-20
6,New York Yankees,Kansas City Royals,2018-05-20
7,Milwaukee Brewers,Minnesota Twins,2018-05-20
8,Arizona D'Backs,New York Mets,2018-05-20
9,San Diego Padres,Pittsburgh Pirates,2018-05-20
10,Detroit Tigers,Seattle Mariners,2018-05-20
11,Colorado Rockies,San Francisco Giants,2018-05-20
12,Philadelphia Phillies,St. Louis Cardinals,2018-05-20
13,Oakland Athletics,Toronto Blue Jays,2018-05-20
14,Los Angeles Dodgers,Washington Nationals,2018-05-20
0,Baltimore Orioles,Chicago White Sox,2018-05-21
1,Colorado Rockies,Los Angeles Dodgers,2018-05-21
2,Arizona D'Backs,Milwaukee Brewers,2018-05-21
3,Detroit Tigers,Minnesota Twins,2018-05-21
4,Miami Marlins,New York Mets,2018-05-21
5,Atlanta Braves,Philadelphia Phillies,2018-05-21
6,Kansas City Royals,St. Louis Cardinals,2018-05-21
7,New York Yankees,Texas Rangers,2018-05-21
8,San Diego Padres,Washington Nationals,2018-05-21
0,Baltimore Orioles,Chicago White Sox,2018-05-22
1,Cleveland Indians,Chicago Cubs,2018-05-22
2,Pittsburgh Pirates,Cincinnati Reds,2018-05-22
3,San Francisco Giants,Houston Astros,2018-05-22
4,Colorado Rockies,Los Angeles Dodgers,2018-05-22
5,Arizona D'Backs,Milwaukee Brewers,2018-05-22
6,Detroit Tigers,Minnesota Twins,2018-05-22
7,Miami Marlins,New York Mets,2018-05-22
8,Seattle Mariners,Oakland Athletics,2018-05-22
9,Atlanta Braves,Philadelphia Phillies,2018-05-22
10,Kansas City Royals,St. Louis Cardinals,2018-05-22
11,Boston Red Sox,Tampa Bay Rays,2018-05-22
12,New York Yankees,Texas Rangers,2018-05-22
13,Los Angeles Angels,Toronto Blue Jays,2018-05-22
14,San Diego Padres,Washington Nationals,2018-05-22
0,Baltimore Orioles,Chicago White Sox,2018-05-23
1,Cleveland Indians,Chicago Cubs,2018-05-23
2,Pittsburgh Pirates,Cincinnati Reds,2018-05-23
3,San Francisco Giants,Houston Astros,2018-05-23
4,Colorado Rockies,Los Angeles Dodgers,2018-05-23
5,Arizona D'Backs,Milwaukee Brewers,2018-05-23
6,Detroit Tigers,Minnesota Twins,2018-05-23
7,Miami Marlins,New York Mets,2018-05-23
8,Seattle Mariners,Oakland Athletics,2018-05-23
9,Atlanta Braves,Philadelphia Phillies,2018-05-23
10,Kansas City Royals,St. Louis Cardinals,2018-05-23
11,Boston Red Sox,Tampa Bay Rays,2018-05-23
12,New York Yankees,Texas Rangers,2018-05-23
13,Los Angeles Angels,Toronto Blue Jays,2018-05-23
14,San Diego Padres,Washington Nationals,2018-05-23
0,Baltimore Orioles,Chicago White Sox,2018-05-24
1,Pittsburgh Pirates,Cincinnati Reds,2018-05-24
2,Houston Astros,Cleveland Indians,2018-05-24
3,New York Mets,Milwaukee Brewers,2018-05-24
4,Seattle Mariners,Oakland Athletics,2018-05-24
5,Boston Red Sox,Tampa Bay Rays,2018-05-24
6,Kansas City Royals,Texas Rangers,2018-05-24
7,Los Angeles Angels,Toronto Blue Jays,2018-05-24
0,Atlanta Braves,Boston Red Sox,2018-05-25
1,San Francisco Giants,Chicago Cubs,2018-05-25
2,Houston Astros,Cleveland Indians,2018-05-25
3,Cincinnati Reds,Colorado Rockies,2018-05-25
4,Chicago White Sox,Detroit Tigers,2018-05-25
5,San Diego Padres,Los Angeles Dodgers,2018-05-25
6,Washington Nationals,Miami Marlins,2018-05-25
7,New York Mets,Milwaukee Brewers,2018-05-25
8,Los Angeles Angels,New York Yankees,2018-05-25
9,Arizona D'Backs,Oakland Athletics,2018-05-25
10,Toronto Blue Jays,Philadelphia Phillies,2018-05-25
11,St. Louis Cardinals,Pittsburgh Pirates,2018-05-25
12,Minnesota Twins,Seattle Mariners,2018-05-25
13,Baltimore Orioles,Tampa Bay Rays,2018-05-25
14,Kansas City Royals,Texas Rangers,2018-05-25
0,Atlanta Braves,Boston Red Sox,2018-05-26
1,San Francisco Giants,Chicago Cubs,2018-05-26
2,Houston Astros,Cleveland Indians,2018-05-26
3,Cincinnati Reds,Colorado Rockies,2018-05-26
4,Chicago White Sox,Detroit Tigers,2018-05-26
5,San Diego Padres,Los Angeles Dodgers,2018-05-26
6,Washington Nationals,Miami Marlins,2018-05-26
7,New York Mets,Milwaukee Brewers,2018-05-26
8,Los Angeles Angels,New York Yankees,2018-05-26
9,Arizona D'Backs,Oakland Athletics,2018-05-26
10,Toronto Blue Jays,Philadelphia Phillies,2018-05-26
11,St. Louis Cardinals,Pittsburgh Pirates,2018-05-26
12,Minnesota Twins,Seattle Mariners,2018-05-26
13,Baltimore Orioles,Tampa Bay Rays,2018-05-26
14,Kansas City Royals,Texas Rangers,2018-05-26
0,Atlanta Braves,Boston Red Sox,2018-05-27
1,San Francisco Giants,Chicago Cubs,2018-05-27
2,Houston Astros,Cleveland Indians,2018-05-27
3,Cincinnati Reds,Colorado Rockies,2018-05-27
4,Chicago White Sox,Detroit Tigers,2018-05-27
5,San Diego Padres,Los Angeles Dodgers,2018-05-27
6,Washington Nationals,Miami Marlins,2018-05-27
7,New York Mets,Milwaukee Brewers,2018-05-27
8,Los Angeles Angels,New York Yankees,2018-05-27
9,Arizona D'Backs,Oakland Athletics,2018-05-27
10,Toronto Blue Jays,Philadelphia Phillies,2018-05-27
11,St. Louis Cardinals,Pittsburgh Pirates,2018-05-27
12,Minnesota Twins,Seattle Mariners,2018-05-27
13,Baltimore Orioles,Tampa Bay Rays,2018-05-27
14,Kansas City Royals,Texas Rangers,2018-05-27
0,Cincinnati Reds,Arizona D'Backs,2018-05-28
1,New York Mets,Atlanta Braves,2018-05-28
2,New York Mets,Atlanta Braves,2018-05-28
3,Washington Nationals,Baltimore Orioles,2018-05-28
4,Toronto Blue Jays,Boston Red Sox,2018-05-28
5,Chicago White Sox,Cleveland Indians,2018-05-28
6,San Francisco Giants,Colorado Rockies,2018-05-28
7,Los Angeles Angels,Detroit Tigers,2018-05-28
8,Minnesota Twins,Kansas City Royals,2018-05-28
9,Philadelphia Phillies,Los Angeles Dodgers,2018-05-28
10,St. Louis Cardinals,Milwaukee Brewers,2018-05-28
11,Houston Astros,New York Yankees,2018-05-28
12,Tampa Bay Rays,Oakland Athletics,2018-05-28
13,Chicago Cubs,Pittsburgh Pirates,2018-05-28
14,Miami Marlins,San Diego Padres,2018-05-28
15,Texas Rangers,Seattle Mariners,2018-05-28
0,Cincinnati Reds,Arizona D'Backs,2018-05-29
1,New York Mets,Atlanta Braves,2018-05-29
2,Washington Nationals,Baltimore Orioles,2018-05-29
3,Toronto Blue Jays,Boston Red Sox,2018-05-29
4,Chicago White Sox,Cleveland Indians,2018-05-29
5,San Francisco Giants,Colorado Rockies,2018-05-29
6,Los Angeles Angels,Detroit Tigers,2018-05-29
7,Minnesota Twins,Kansas City Royals,2018-05-29
8,Philadelphia Phillies,Los Angeles Dodgers,2018-05-29
9,St. Louis Cardinals,Milwaukee Brewers,2018-05-29
10,Houston Astros,New York Yankees,2018-05-29
11,Tampa Bay Rays,Oakland Athletics,2018-05-29
12,Chicago Cubs,Pittsburgh Pirates,2018-05-29
13,Miami Marlins,San Diego Padres,2018-05-29
14,Texas Rangers,Seattle Mariners,2018-05-29
0,Cincinnati Reds,Arizona D'Backs,2018-05-30
1,New York Mets,Atlanta Braves,2018-05-30
2,Washington Nationals,Baltimore Orioles,2018-05-30
3,Toronto Blue Jays,Boston Red Sox,2018-05-30
4,Chicago White Sox,Cleveland Indians,2018-05-30
5,San Francisco Giants,Colorado Rockies,2018-05-30
6,Los Angeles Angels,Detroit Tigers,2018-05-30
7,Minnesota Twins,Kansas City Royals,2018-05-30
8,Philadelphia Phillies,Los Angeles Dodgers,2018-05-30
9,St. Louis Cardinals,Milwaukee Brewers,2018-05-30
10,Houston Astros,New York Yankees,2018-05-30
11,Tampa Bay Rays,Oakland Athletics,2018-05-30
12,Chicago Cubs,Pittsburgh Pirates,2018-05-30
13,Miami Marlins,San Diego Padres,2018-05-30
14,Texas Rangers,Seattle Mariners,2018-05-30
0,Washington Nationals,Atlanta Braves,2018-05-31
1,Los Angeles Angels,Detroit Tigers,2018-05-31
2,Boston Red Sox,Houston Astros,2018-05-31
3,Philadelphia Phillies,Los Angeles Dodgers,2018-05-31
4,Cleveland Indians,Minnesota Twins,2018-05-31
5,Chicago Cubs,New York Mets,2018-05-31
6,Tampa Bay Rays,Oakland Athletics,2018-05-31
7,Miami Marlins,San Diego Padres,2018-05-31
8,Texas Rangers,Seattle Mariners,2018-05-31
9,Pittsburgh Pirates,St. Louis Cardinals,2018-05-31
0,Texas Rangers,Los Angeles Angels,2018-06-01
1,Miami Marlins,Arizona D'Backs,2018-06-01
2,Washington Nationals,Atlanta Braves,2018-06-01
3,New York Yankees,Baltimore Orioles,2018-06-01
4,Milwaukee Brewers,Chicago White Sox,2018-06-01
5,Los Angeles Dodgers,Colorado Rockies,2018-06-01
6,Toronto Blue Jays,Detroit Tigers,2018-06-01
7,Boston Red Sox,Houston Astros,2018-06-01
8,Oakland Athletics,Kansas City Royals,2018-06-01
9,Cleveland Indians,Minnesota Twins,2018-06-01
10,Chicago Cubs,New York Mets,2018-06-01
11,Cincinnati Reds,San Diego Padres,2018-06-01
12,Tampa Bay Rays,Seattle Mariners,2018-06-01
13,Philadelphia Phillies,San Francisco Giants,2018-06-01
14,Pittsburgh Pirates,St. Louis Cardinals,2018-06-01
0,Texas Rangers,Los Angeles Angels,2018-06-02
1,Miami Marlins,Arizona D'Backs,2018-06-02
2,Washington Nationals,Atlanta Braves,2018-06-02
3,New York Yankees,Baltimore Orioles,2018-06-02
4,Milwaukee Brewers,Chicago White Sox,2018-06-02
5,Los Angeles Dodgers,Colorado Rockies,2018-06-02
6,Toronto Blue Jays,Detroit Tigers,2018-06-02
7,Boston Red Sox,Houston Astros,2018-06-02
8,Oakland Athletics,Kansas City Royals,2018-06-02
9,Cleveland Indians,Minnesota Twins,2018-06-02
10,Chicago Cubs,New York Mets,2018-06-02
11,Cincinnati Reds,San Diego Padres,2018-06-02
12,Tampa Bay Rays,Seattle Mariners,2018-06-02
13,Philadelphia Phillies,San Francisco Giants,2018-06-02
14,Pittsburgh Pirates,St. Louis Cardinals,2018-06-02
0,Texas Rangers,Los Angeles Angels,2018-06-03
1,Miami Marlins,Arizona D'Backs,2018-06-03
2,Washington Nationals,Atlanta Braves,2018-06-03
3,Milwaukee Brewers,Chicago White Sox,2018-06-03
4,Los Angeles Dodgers,Colorado Rockies,2018-06-03
5,Toronto Blue Jays,Detroit Tigers,2018-06-03
6,Boston Red Sox,Houston Astros,2018-06-03
7,Oakland Athletics,Kansas City Royals,2018-06-03
8,Cleveland Indians,Minnesota Twins,2018-06-03
9,Chicago Cubs,New York Mets,2018-06-03
10,Cincinnati Reds,San Diego Padres,2018-06-03
11,Tampa Bay Rays,Seattle Mariners,2018-06-03
12,Philadelphia Phillies,San Francisco Giants,2018-06-03
13,Pittsburgh Pirates,St. Louis Cardinals,2018-06-03
0,Kansas City Royals,Los Angeles Angels,2018-06-04
1,New York Yankees,Detroit Tigers,2018-06-04
2,New York Yankees,Detroit Tigers,2018-06-04
3,Atlanta Braves,San Diego Padres,2018-06-04
4,Arizona D'Backs,San Francisco Giants,2018-06-04
0,Kansas City Royals,Los Angeles Angels,2018-06-05
1,Detroit Tigers,Boston Red Sox,2018-06-05
2,Philadelphia Phillies,Chicago Cubs,2018-06-05
3,Colorado Rockies,Cincinnati Reds,2018-06-05
4,Milwaukee Brewers,Cleveland Indians,2018-06-05
5,Seattle Mariners,Houston Astros,2018-06-05
6,Chicago White Sox,Minnesota Twins,2018-06-05
7,Chicago White Sox,Minnesota Twins,2018-06-05
8,Baltimore Orioles,New York Mets,2018-06-05
9,Los Angeles Dodgers,Pittsburgh Pirates,2018-06-05
10,Atlanta Braves,San Diego Padres,2018-06-05
11,Arizona D'Backs,San Francisco Giants,2018-06-05
12,Miami Marlins,St. Louis Cardinals,2018-06-05
13,Oakland Athletics,Texas Rangers,2018-06-05
14,New York Yankees,Toronto Blue Jays,2018-06-05
15,Tampa Bay Rays,Washington Nationals,2018-06-05
0,Kansas City Royals,Los Angeles Angels,2018-06-06
1,Detroit Tigers,Boston Red Sox,2018-06-06
2,Philadelphia Phillies,Chicago Cubs,2018-06-06
3,Colorado Rockies,Cincinnati Reds,2018-06-06
4,Milwaukee Brewers,Cleveland Indians,2018-06-06
5,Seattle Mariners,Houston Astros,2018-06-06
6,Chicago White Sox,Minnesota Twins,2018-06-06
7,Baltimore Orioles,New York Mets,2018-06-06
8,Los Angeles Dodgers,Pittsburgh Pirates,2018-06-06
9,Atlanta Braves,San Diego Padres,2018-06-06
10,Arizona D'Backs,San Francisco Giants,2018-06-06
11,Miami Marlins,St. Louis Cardinals,2018-06-06
12,Oakland Athletics,Texas Rangers,2018-06-06
13,New York Yankees,Toronto Blue Jays,2018-06-06
14,Tampa Bay Rays,Washington Nationals,2018-06-06
0,Detroit Tigers,Boston Red Sox,2018-06-07
1,Philadelphia Phillies,Chicago Cubs,2018-06-07
2,Colorado Rockies,Cincinnati Reds,2018-06-07
3,Chicago White Sox,Minnesota Twins,2018-06-07
4,Kansas City Royals,Oakland Athletics,2018-06-07
5,Los Angeles Dodgers,Pittsburgh Pirates,2018-06-07
6,Miami Marlins,St. Louis Cardinals,2018-06-07
7,Seattle Mariners,Tampa Bay Rays,2018-06-07
8,Houston Astros,Texas Rangers,2018-06-07
9,Baltimore Orioles,Toronto Blue Jays,2018-06-07
0,Chicago White Sox,Boston Red Sox,2018-06-08
1,Pittsburgh Pirates,Chicago Cubs,2018-06-08
2,St. Louis Cardinals,Cincinnati Reds,2018-06-08
3,Arizona D'Backs,Colorado Rockies,2018-06-08
4,Cleveland Indians,Detroit Tigers,2018-06-08
5,Atlanta Braves,Los Angeles Dodgers,2018-06-08
6,San Diego Padres,Miami Marlins,2018-06-08
7,Los Angeles Angels,Minnesota Twins,2018-06-08
8,New York Yankees,New York Mets,2018-06-08
9,Kansas City Royals,Oakland Athletics,2018-06-08
10,Milwaukee Brewers,Philadelphia Phillies,2018-06-08
11,Seattle Mariners,Tampa Bay Rays,2018-06-08
12,Houston Astros,Texas Rangers,2018-06-08
13,Baltimore Orioles,Toronto Blue Jays,2018-06-08
14,San Francisco Giants,Washington Nationals,2018-06-08
0,Chicago White Sox,Boston Red Sox,2018-06-09
1,Pittsburgh Pirates,Chicago Cubs,2018-06-09
2,St. Louis Cardinals,Cincinnati Reds,2018-06-09
3,Arizona D'Backs,Colorado Rockies,2018-06-09
4,Cleveland Indians,Detroit Tigers,2018-06-09
5,Atlanta Braves,Los Angeles Dodgers,2018-06-09
6,San Diego Padres,Miami Marlins,2018-06-09
7,Los Angeles Angels,Minnesota Twins,2018-06-09
8,New York Yankees,New York Mets,2018-06-09
9,Kansas City Royals,Oakland Athletics,2018-06-09
10,Milwaukee Brewers,Philadelphia Phillies,2018-06-09
11,Seattle Mariners,Tampa Bay Rays,2018-06-09
12,Houston Astros,Texas Rangers,2018-06-09
13,Baltimore Orioles,Toronto Blue Jays,2018-06-09
14,San Francisco Giants,Washington Nationals,2018-06-09
0,Chicago White Sox,Boston Red Sox,2018-06-10
1,Pittsburgh Pirates,Chicago Cubs,2018-06-10
2,St. Louis Cardinals,Cincinnati Reds,2018-06-10
3,Arizona D'Backs,Colorado Rockies,2018-06-10
4,Cleveland Indians,Detroit Tigers,2018-06-10
5,Atlanta Braves,Los Angeles Dodgers,2018-06-10
6,San Diego Padres,Miami Marlins,2018-06-10
7,Los Angeles Angels,Minnesota Twins,2018-06-10
8,New York Yankees,New York Mets,2018-06-10
9,Kansas City Royals,Oakland Athletics,2018-06-10
10,Milwaukee Brewers,Philadelphia Phillies,2018-06-10
11,Seattle Mariners,Tampa Bay Rays,2018-06-10
12,Houston Astros,Texas Rangers,2018-06-10
13,Baltimore Orioles,Toronto Blue Jays,2018-06-10
14,San Francisco Giants,Washington Nationals,2018-06-10
0,Pittsburgh Pirates,Arizona D'Backs,2018-06-11
1,Boston Red Sox,Baltimore Orioles,2018-06-11
2,Cleveland Indians,Chicago White Sox,2018-06-11
3,San Francisco Giants,Miami Marlins,2018-06-11
4,Chicago Cubs,Milwaukee Brewers,2018-06-11
5,Los Angeles Angels,Seattle Mariners,2018-06-11
6,San Diego Padres,St. Louis Cardinals,2018-06-11
7,Toronto Blue Jays,Tampa Bay Rays,2018-06-11
0,Pittsburgh Pirates,Arizona D'Backs,2018-06-12
1,New York Mets,Atlanta Braves,2018-06-12
2,Boston Red Sox,Baltimore Orioles,2018-06-12
3,Cleveland Indians,Chicago White Sox,2018-06-12
4,Minnesota Twins,Detroit Tigers,2018-06-12
5,Cincinnati Reds,Kansas City Royals,2018-06-12
6,Texas Rangers,Los Angeles Dodgers,2018-06-12
7,San Francisco Giants,Miami Marlins,2018-06-12
8,Chicago Cubs,Milwaukee Brewers,2018-06-12
9,Washington Nationals,New York Yankees,2018-06-12
10,Houston Astros,Oakland Athletics,2018-06-12
11,Colorado Rockies,Philadelphia Phillies,2018-06-12
12,Los Angeles Angels,Seattle Mariners,2018-06-12
13,San Diego Padres,St. Louis Cardinals,2018-06-12
14,Toronto Blue Jays,Tampa Bay Rays,2018-06-12
0,Pittsburgh Pirates,Arizona D'Backs,2018-06-13
1,New York Mets,Atlanta Braves,2018-06-13
2,Boston Red Sox,Baltimore Orioles,2018-06-13
3,Cleveland Indians,Chicago White Sox,2018-06-13
4,Minnesota Twins,Detroit Tigers,2018-06-13
5,Cincinnati Reds,Kansas City Royals,2018-06-13
6,Texas Rangers,Los Angeles Dodgers,2018-06-13
7,San Francisco Giants,Miami Marlins,2018-06-13
8,Chicago Cubs,Milwaukee Brewers,2018-06-13
9,Washington Nationals,New York Yankees,2018-06-13
10,Houston Astros,Oakland Athletics,2018-06-13
11,Colorado Rockies,Philadelphia Phillies,2018-06-13
12,Los Angeles Angels,Seattle Mariners,2018-06-13
13,San Diego Padres,St. Louis Cardinals,2018-06-13
14,Toronto Blue Jays,Tampa Bay Rays,2018-06-13
0,New York Mets,Arizona D'Backs,2018-06-14
1,San Diego Padres,Atlanta Braves,2018-06-14
2,Cleveland Indians,Chicago White Sox,2018-06-14
3,Minnesota Twins,Detroit Tigers,2018-06-14
