,away,home,date
9,Miami Marlins,Philadelphia Phillies,2018-04-07
10,Cincinnati Reds,Pittsburgh Pirates,2018-04-07
11,Los Angeles Dodgers,San Francisco Giants,2018-04-07
12,Arizona D'Backs,St. Louis Cardinals,2018-04-07
13,Toronto Blue Jays,Texas Rangers,2018-04-07
14,New York Mets,Washington Nationals,2018-04-07
0,Oakland Athletics,Los Angeles Angels,2018-04-08
1,Tampa Bay Rays,Boston Red Sox,2018-04-08
2,Detroit Tigers,Chicago White Sox,2018-04-08
3,Kansas City Royals,Cleveland Indians,2018-04-08
4,Atlanta Braves,Colorado Rockies,2018-04-08
5,San Diego Padres,Houston Astros,2018-04-08
6,Chicago Cubs,Milwaukee Brewers,2018-04-08
7,Baltimore Orioles,New York Yankees,2018-04-08
8,Miami Marlins,Philadelphia Phillies,2018-04-08
9,Cincinnati Reds,Pittsburgh Pirates,2018-04-08
10,Los Angeles Dodgers,San Francisco Giants,2018-04-08
11,Arizona D'Backs,St. Louis Cardinals,2018-04-08
12,Toronto Blue Jays,Texas Rangers,2018-04-08
13,New York Mets,Washington Nationals,2018-04-08
0,Toronto Blue Jays,Baltimore Orioles,2018-04-09
1,Tampa Bay Rays,Chicago White Sox,2018-04-09
2,Detroit Tigers,Cleveland Indians,2018-04-09
3,San Diego Padres,Colorado Rockies,2018-04-09
4,Seattle Mariners,Kansas City Royals,2018-04-09
5,New York Mets,Miami Marlins,2018-04-09
6,Houston Astros,Minnesota Twins,2018-04-09
7,Cincinnati Reds,Philadelphia Phillies,2018-04-09
8,Arizona D'Backs,San Francisco Giants,2018-04-09
9,Milwaukee Brewers,St. Louis Cardinals,2018-04-09
10,Los Angeles Angels,Texas Rangers,2018-04-09
11,Atlanta Braves,Washington Nationals,2018-04-09
0,Toronto Blue Jays,Baltimore Orioles,2018-04-10
1,New York Yankees,Boston Red Sox,2018-04-10
2,Tampa Bay Rays,Chicago White Sox,2018-04-10
3,Pittsburgh Pirates,Chicago Cubs,2018-04-10
4,Detroit Tigers,Cleveland Indians,2018-04-10
5,San Diego Padres,Colorado Rockies,2018-04-10
6,Seattle Mariners,Kansas City Royals,2018-04-10
7,Oakland Athletics,Los Angeles Dodgers,2018-04-10
8,New York Mets,Miami Marlins,2018-04-10
9,Houston Astros,Minnesota Twins,2018-04-10
10,Cincinnati Reds,Philadelphia Phillies,2018-04-10
11,Arizona D'Backs,San Francisco Giants,2018-04-10
12,Milwaukee Brewers,St. Louis Cardinals,2018-04-10
13,Los Angeles Angels,Texas Rangers,2018-04-10
14,Atlanta Braves,Washington Nationals,2018-04-10
0,Toronto Blue Jays,Baltimore Orioles,2018-04-11
1,New York Yankees,Boston Red Sox,2018-04-11
2,Tampa Bay Rays,Chicago White Sox,2018-04-11
3,Pittsburgh Pirates,Chicago Cubs,2018-04-11
4,Detroit Tigers,Cleveland Indians,2018-04-11
5,San Diego Padres,Colorado Rockies,2018-04-11
6,Seattle Mariners,Kansas City Royals,2018-04-11
7,Oakland Athletics,Los Angeles Dodgers,2018-04-11
8,New York Mets,Miami Marlins,2018-04-11
9,Houston Astros,Minnesota Twins,2018-04-11
10,Cincinnati Reds,Philadelphia Phillies,2018-04-11
11,Arizona D'Backs,San Francisco Giants,2018-04-11
12,Milwaukee Brewers,St. Louis Cardinals,2018-04-11
13,Los Angeles Angels,Texas Rangers,2018-04-11
14,Atlanta Braves,Washington Nationals,2018-04-11
0,New York Yankees,Boston Red Sox,2018-04-12
1,Pittsburgh Pirates,Chicago Cubs,2018-04-12
2,St. Louis Cardinals,Cincinnati Reds,2018-04-12
3,Detroit Tigers,Cleveland Indians,2018-04-12
4,Los Angeles Angels,Kansas City Royals,2018-04-12
5,Chicago White Sox,Minnesota Twins,2018-04-12
6,San Francisco Giants,San Diego Padres,2018-04-12
7,Colorado Rockies,Washington Nationals,2018-04-12
0,Baltimore Orioles,Boston Red Sox,2018-04-13
1,Atlanta Braves,Chicago Cubs,2018-04-13
2,St. Louis Cardinals,Cincinnati Reds,2018-04-13
3,Toronto Blue Jays,Cleveland Indians,2018-04-13
4,New York Yankees,Detroit Tigers,2018-04-13
5,Texas Rangers,Houston Astros,2018-04-13
6,Los Angeles Angels,Kansas City Royals,2018-04-13
7,Arizona D'Backs,Los Angeles Dodgers,2018-04-13
8,Pittsburgh Pirates,Miami Marlins,2018-04-13
9,Milwaukee Brewers,New York Mets,2018-04-13
10,San Francisco Giants,San Diego Padres,2018-04-13
11,Oakland Athletics,Seattle Mariners,2018-04-13
12,Philadelphia Phillies,Tampa Bay Rays,2018-04-13
13,Colorado Rockies,Washington Nationals,2018-04-13
0,Baltimore Orioles,Boston Red Sox,2018-04-14
1,Atlanta Braves,Chicago Cubs,2018-04-14
2,St. Louis Cardinals,Cincinnati Reds,2018-04-14
3,Texas Rangers,Houston Astros,2018-04-14
4,Los Angeles Angels,Kansas City Royals,2018-04-14
5,Arizona D'Backs,Los Angeles Dodgers,2018-04-14
6,Pittsburgh Pirates,Miami Marlins,2018-04-14
7,Milwaukee Brewers,New York Mets,2018-04-14
8,San Francisco Giants,San Diego Padres,2018-04-14
9,Oakland Athletics,Seattle Mariners,2018-04-14
10,Philadelphia Phillies,Tampa Bay Rays,2018-04-14
11,Colorado Rockies,Washington Nationals,2018-04-14
0,Baltimore Orioles,Boston Red Sox,2018-04-15
1,St. Louis Cardinals,Cincinnati Reds,2018-04-15
2,Texas Rangers,Houston Astros,2018-04-15
3,Arizona D'Backs,Los Angeles Dodgers,2018-04-15
4,Pittsburgh Pirates,Miami Marlins,2018-04-15
5,Milwaukee Brewers,New York Mets,2018-04-15
6,San Francisco Giants,San Diego Padres,2018-04-15
7,Oakland Athletics,Seattle Mariners,2018-04-15
8,Philadelphia Phillies,Tampa Bay Rays,2018-04-15
9,Colorado Rockies,Washington Nationals,2018-04-15
0,Philadelphia Phillies,Atlanta Braves,2018-04-16
1,Cincinnati Reds,Milwaukee Brewers,2018-04-16
